Elephant
Versão,Tamanho,Tempo Médio (s),Intervalo de Confiança (s)
128,2,0.0092555,3.99e-05
256,2,0.03313,0.000208
512,2,0.127699,0.000416
1024,2,0.50722,0.00219
2048,2,2.00332,0.00685
4096,2,7.9456,0.0169
8192,2,31.7865,0.0496
16,4,0.000951,4.33e-05
32,4,0.0011922,4.39e-05
64,4,0.0020379,4.81e-05
128,4,0.005528,0.000116
256,4,0.019411,0.000386
512,4,0.073095,0.00014
1024,4,0.337136,0.000685
2048,4,1.30252,0.00192
4096,4,5.18104,0.00225
8192,4,20.6877,0.0111
16,8,0.0010711,3.42e-05
32,8,0.0012345,3e-05
64,8,0.001976,0.000107
128,8,0.00482,0.000319
256,8,0.01797,0.000899
512,8,0.0657,0.00169
1024,8,0.25006,0.00345
2048,8,0.97822,0.00426
4096,8,3.86047,0.00299
8192,8,15.4758,0.0881
16,16,0.0012853,4.1e-05
32,16,0.0014071,3.65e-05
64,16,0.0019587,4.65e-05
128,16,0.004564,0.00013
256,16,0.017982,0.00028
512,16,0.066391,0.000562
1024,16,0.24917,0.00189
2048,16,0.99595,0.00624
4096,16,3.88132,0.00952
8192,16,15.4532,0.0343
16,32,0.0017922,5.56e-05
32,32,0.0017908,4.32e-05
64,32,0.0021657,3.98e-05
128,32,0.0050378,6.69e-05
256,32,0.017607,0.000196
512,32,0.064052,0.000257
1024,32,0.24695,0.00151
2048,32,0.98139,0.00398
4096,32,3.87097,0.00476
8192,32,15.4081,0.0123



